times,LOAD,WIND_ONSHORE,WIND_OFFSHORE,SOLAR,DA_PRICES,LOAD_H2,ELASTICITY_EL
2019-01-01T00:00:00.000+01:00,11285,0.489158906,0.828631139,0,68.92,10658,2424
2019-01-01T01:00:00.000+01:00,11194,0.516152503,0.832810867,0,64.98,10657,2394
2019-01-01T02:00:00.000+01:00,10933,0.550713038,0.830721003,0,60.27,10656,2327
2019-01-01T03:00:00.000+01:00,10667,0.582945285,0.854754441,0,49.97,10655,2246
2019-01-01T04:00:00.000+01:00,10413,0.597133295,0.863113898,0,47.66,10654,2187
2019-01-01T05:00:00.000+01:00,10441,0.609211292,0.855799373,0,48,10652,2193
2019-01-01T06:00:00.000+01:00,10670,0.610157159,0.858934169,0,49.75,10650,2246
2019-01-01T07:00:00.000+01:00,10899,0.592476717,0.854754441,0,55.12,10649,2307
2019-01-01T08:00:00.000+01:00,11161,0.563809662,0.850574713,0.002604167,44.8,10648,2337
2019-01-01T09:00:00.000+01:00,11463,0.538853318,0.824451411,0.012369792,49.58,10646,2412
2019-01-01T10:00:00.000+01:00,11837,0.537689173,0.777429467,0.031738281,55.44,10645,2506
2019-01-01T11:00:00.000+01:00,12258,0.577051804,0.761755486,0.06266276,62.62,10644,2615
2019-01-01T12:00:00.000+01:00,12493,0.637441793,0.777429467,0.097384983,57.4,10643,2651
2019-01-01T13:00:00.000+01:00,12610,0.691137951,0.848484848,0.106933594,50.76,10642,2657
2019-01-01T14:00:00.000+01:00,12587,0.739959255,0.855799373,0.072536892,49.92,10639,2650
2019-01-01T15:00:00.000+01:00,12709,0.778157742,0.854754441,0.025173611,50.05,10638,2676
2019-01-01T16:00:00.000+01:00,13076,0.793728172,0.830721003,0.002712674,50.6,10637,2755
2019-01-01T17:00:00.000+01:00,14079,0.811263097,0.825496343,0,60.72,10636,2998
2019-01-01T18:00:00.000+01:00,13950,0.827633877,0.848484848,0,50.51,10634,2938
2019-01-01T19:00:00.000+01:00,13678,0.833454598,0.823406479,0,47.35,10633,2872
2019-01-01T20:00:00.000+01:00,13311,0.830544237,0.822361546,0,50.4,10632,2803
2019-01-01T21:00:00.000+01:00,12762,0.82814319,0.809822362,0,47.53,10630,2680
2019-01-01T22:00:00.000+01:00,12222,0.823850407,0.834900731,0,51.06,10628,2576
2019-01-01T23:00:00.000+01:00,11522,0.819266589,0.81922675,0,47.55,10627,2419
2019-01-02T00:00:00.000+01:00,11056,0.799257858,0.774294671,0,49,10626,2325
2019-01-02T01:00:00.000+01:00,10727,0.796784051,0.841170324,0,46.6,10625,2250
2019-01-02T02:00:00.000+01:00,10573,0.795547148,0.854754441,0,46.6,10624,2218
2019-01-02T03:00:00.000+01:00,10512,0.790381257,0.857889237,0,45.73,10622,2203
2019-01-02T04:00:00.000+01:00,10608,0.777866705,0.857889237,0,46.01,10620,2224
2019-01-02T05:00:00.000+01:00,11109,0.75669383,0.861024033,0,46.45,10619,2330
